,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
136,54.006458,61.625926,Бугристое,УФО,АПП,313418,2021,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500,2.86
137,56.356309,28.197336,Бурачки,СЗФО,АПП,135512,2021,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500,1.24
138,42.768431,44.631185,Верхний Ларс,СКФО,АПП,296877,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050,4.78
139,62.168784,30.635873,Вяртсиля,СЗФО,АПП,96501,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800,2.2
140,64.545064,29.994016,Люття,СЗФО,АПП,30286,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900,1.38
141,64.5496,30.665,Люття,СЗФО,ЖДПП,3858,2021,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,3650,1.06
142,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,37042,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,36500,1.01
143,49.643629,89.44195,Ташанта,СФО,АПП,8222,2021,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980,1.37
144,54.645721,22.736633,Чернышевское,СЗФО,АПП,130257,2021,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500,1.19
145,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,169212,2021,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500,1.55
146,43.397314,40.002072,Адлер,ЮФО,АПП,90346,2022,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750,1.65
147,54.006458,61.625926,Бугристое,УФО,АПП,296124,2022,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500,2.7
148,42.768431,44.631185,Верхний Ларс,СКФО,АПП,281926,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050,4.54
